,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,ETH_trends,gold_spot,gspc_spot,ndx_spot
136,2025-03-01,2781,2237.9421065758,2279.8731430896,2144.0900574163,2216.6433281519,16135258238.92,267274998126.87,-0.0767360874570068,79.0,70.0,2836.800049,5954.5,20884.41016
135,2025-03-02,2781,2216.5217501798,2548.8118448763,2175.3215669952,2519.6944727218,34854193845.11,303819248389.36,-0.0767623504273697,114.0,68.0,2836.800049,5954.5,20884.41016
134,2025-03-03,2781,2519.530960837,2522.3166107566,2097.0762840734,2145.5738939222,31473561910.03,258739412558.46,-0.0498693301018341,63.0,68.0,2890.199951,5849.720215,20425.58008
133,2025-03-04,2781,2145.6529493211,2220.3585208568,1996.7675487924,2170.015168597,33935738380.02,261678925064.66,-0.5082996027390482,55.0,68.0,2909.600098,5778.149902,20352.5293
132,2025-03-05,2781,2169.9867232695,2272.7972549273,2156.0994383452,2241.9773218864,22105432726.58,270357043885.76,-0.0689356778926066,83.0,68.0,2915.300049,5842.629883,20628.46094
131,2025-03-06,2781,2241.9065602636,2319.3961490391,2177.6768972608,2202.4768379958,18509069101.5,265610155900.46,0.0364567732652292,31.0,68.0,2916.600098,5738.52002,20052.63086
130,2025-03-07,2781,2202.4981831134,2254.2325328969,2103.4727004982,2138.9874273084,22425792863.03,258054043014.14,0.0152394142824599,71.0,68.0,2904.699951,5770.200195,20201.36914
129,2025-03-08,2781,2139.7978520685,2232.3271588921,2107.7279967202,2201.5102217124,10533204814.2,265525512671.7,0.015819624899337,28.0,68.0,2904.699951,5770.200195,20201.36914
128,2025-03-09,2781,2201.7086640568,2210.3136151092,1991.1934490119,2015.5091088434,16103964993.72,243065607357.13,-0.1057228378053596,33.0,65.0,2904.699951,5770.200195,20201.36914
127,2025-03-10,2781,2015.4304177963,2150.7062873051,1812.7668746905,1861.1513909157,35005066441.55,224298082241.2,-0.3287088166769237,82.0,65.0,2891.0,5614.560059,19430.94922
126,2025-03-11,2781,1859.7776755424,1961.797777114,1760.9417913836,1919.8449490468,30898385862.7,231524778019.25,-0.2818349881458847,67.0,65.0,2912.899902,5572.069824,19376.96094
125,2025-03-12,2781,1919.6647848332,1954.5711142399,1832.0190276304,1908.9826851467,22898872950.77,230244865407.36,0.0116461268023067,54.0,65.0,2939.100098,5599.299805,19596.01953
124,2025-03-13,2781,1909.0154311269,1919.6882440931,1823.5254513829,1862.9696474371,17977225564.11,224699329991.48,-0.6326045467055806,62.0,65.0,2984.300049,5521.52002,19225.48047
123,2025-03-14,2781,1862.9979774279,1945.0914456822,1861.1059079287,1909.4675210747,12122715282.13,230316173330.62,-0.1232930721766358,44.0,65.0,2994.5,5638.939941,19704.64063
122,2025-03-15,2781,1909.5281040834,1955.2383657619,1904.9657496776,1937.3946766174,6456484590.53,233680757404.22,0.0047437613127661,68.0,65.0,2994.5,5638.939941,19704.64063
121,2025-03-16,2781,1937.3847751486,1940.4744246466,1863.4890594037,1887.4350177086,9292997637.67,227662553342.17,-0.5865073957913358,33.0,53.0,2994.5,5638.939941,19704.64063
120,2025-03-17,2781,1887.4491655955,1951.6259387436,1880.4843522,1927.0029027556,10436892087.1,232438668168.36,-0.0313567492298613,48.0,53.0,3000.0,5675.120117,19812.24023
119,2025-03-18,2781,1927.0057012509,1935.1819459255,1872.5088616552,1932.5434086744,10170844745.64,233111623995.13,-0.153505253284163,58.0,53.0,3035.100098,5614.660156,19483.35938
