,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,BTC_trends,gold_spot,gspc_spot,ndx_spot
100,2025-04-06,2781,83504.5071163801,83704.7177864194,77097.7409017465,78214.4808171041,36294853735.96,1552514022964.74,-0.5629279921625617,43.0,55.0,3012.0,5074.080078,17397.69922
99,2025-04-07,2781,78221.3331336497,81119.0644210414,74436.6791009452,79235.333132174,91262424987.16,1572341577872.51,-0.4273293716608038,38.0,55.0,2951.300049,5062.25,17430.67969
98,2025-04-08,2781,79218.4738597791,80823.8881213157,76198.022280574,76271.9501747134,48314590748.66,1513925781250.1,-0.232663423654241,66.0,55.0,2968.399902,4982.77002,17090.40039
97,2025-04-09,2781,76273.5617005576,83541.0002548722,74589.6727070598,82573.9511277008,84213627037.89,1638855824943.54,-0.2499302557451808,34.0,55.0,3056.5,5456.899902,19145.06055
96,2025-04-10,2781,82565.9744525521,82700.9320641928,78456.1337477737,79626.1414360505,44718000633.05,1580516596818.75,-0.0258825521252624,44.0,55.0,3155.199951,5268.049805,18343.57031
95,2025-04-11,2781,79625.0481407205,84247.4736492697,78936.3205689461,83404.8398063772,41656778779.2,1655577243580.95,-0.356393454682921,19.0,55.0,3222.199951,5363.359863,18690.05078
94,2025-04-12,2781,83404.516993045,85856.1878699008,82769.3778925434,85287.1132768994,24258059103.94,1692832369410.95,0.0535908063252766,15.0,55.0,3222.199951,5363.359863,18690.05078
93,2025-04-13,2781,85279.4705343828,86015.1858492691,83027.0042626966,83684.9790281051,28796984817.37,1661414206575.85,-0.5733494017707947,17.0,31.0,3222.199951,5363.359863,18690.05078
92,2025-04-14,2781,83694.5232732834,85784.9977272972,83690.6369469088,84542.3912826737,34090769777.17,1678232271828.09,-0.1031847232347959,19.0,31.0,3204.800049,5405.970215,18796.01953
91,2025-04-15,2781,84539.692784981,86429.3484786375,83598.818421582,83668.9893302616,28040322884.75,1661094846850.74,0.1842298164446131,35.0,31.0,3218.699951,5396.629883,18830.23047
90,2025-04-16,2781,83674.5110786453,85428.2824096212,83100.617930143,84033.865416481,29617804112.22,1668203892788.15,-0.6133236469557652,25.0,31.0,3326.600098,5275.700195,18257.64063
